Region,Country,ItemType,SalesChannel,OrderPriority,OrderID,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Middle East and North Africa,Tunisia ,Beverages,Online,L,377502095,114,47.45,31.79,5409.3,3624.06,1785.24
Asia,Uzbekistan,Meat,Offline,H,806662833,8313,421.89,364.69,3507171.57,3031667.97,475503.6
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,H,954092919,6152,154.06,90.93,947777.12,559401.36,388375.76
Central America and the Caribbean,Belize,Meat,Online,L,479216182,9572,421.89,364.69,4038331.08,3490812.68,547518.4
Sub-Saharan Africa,Angola,Personal Care,Online,H,461768949,6548,81.73,56.67,535168.04,371075.16,164092.88
Asia,Bhutan,Meat,Online,C,251800048,2085,421.89,364.69,879640.65,760378.65,119262
Central America and the Caribbean,Honduras,Personal Care,Offline,L,619670808,3217,81.73,56.67,262925.41,182307.39,80618.02
Sub-Saharan Africa,South Sudan,Household,Offline,H,606055057,4014,668.27,502.54,2682435.78,2017195.56,665240.22
Asia,Kyrgyzstan,Baby Food,Online,L,671939122,573,255.28,159.42,146275.44,91347.66,54927.78
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,M,448621833,6025,437.2,263.33,2634130,1586563.25,1047566.75
Sub-Saharan Africa,Madagascar,Fruits,Online,M,987714517,5530,9.33,6.92,51594.9,38267.6,13327.3
Sub-Saharan Africa,Senegal,Household,Online,H,711141002,1280,668.27,502.54,855385.6,643251.2,212134.4
Sub-Saharan Africa,Sierra Leone,Office Supplies,Online,C,361137616,7501,651.21,524.96,4884726.21,3937724.96,947001.25
Asia,Malaysia,Household,Offline,H,750253188,5446,668.27,502.54,3639398.42,2736832.84,902565.58
Central America and the Caribbean,Cuba,Office Supplies,Online,C,511349046,8401,651.21,524.96,5470815.21,4410188.96,1060626.25
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,L,147599017,6684,81.73,56.67,546283.32,378782.28,167501.04
Europe,Serbia,Beverages,Online,H,682489430,2644,47.45,31.79,125457.8,84052.76,41405.04
Asia,Maldives,Vegetables,Offline,M,509819114,5660,154.06,90.93,871979.6,514663.8,357315.8
Europe,Ireland,Office Supplies,Offline,M,343699395,7144,651.21,524.96,4652244.24,3750314.24,901930
Europe,Romania,Clothes,Offline,L,968554103,5537,109.28,35.84,605083.36,198446.08,406637.28
Europe,Croatia,Beverages,Online,M,989119565,1315,47.45,31.79,62396.75,41803.85,20592.9
Europe,Albania,Vegetables,Offline,M,880444610,1980,154.06,90.93,305038.8,180041.4,124997.4
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,L,737890565,7071,154.06,90.93,1089358.26,642966.03,446392.23
Sub-Saharan Africa,Zimbabwe,Vegetables,Online,M,727131259,3153,154.06,90.93,485751.18,286702.29,199048.89
Sub-Saharan Africa,Ghana,Office Supplies,Offline,L,634153020,8826,651.21,524.96,5747579.46,4633296.96,1114282.5
Asia,Laos,Beverages,Online,H,315254676,9719,47.45,31.79,461166.55,308967.01,152199.54
Central America and the Caribbean,Panama,Personal Care,Offline,M,147047555,3494,81.73,56.67,285564.62,198004.98,87559.64
Sub-Saharan Africa,Angola,Household,Online,L,576455485,4843,668.27,502.54,3236431.61,2433801.22,802630.39
Middle East and North Africa,Syria,Snacks,Offline,L,770714795,490,152.58,97.44,74764.2,47745.6,27018.6
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,H,867374312,4189,437.2,263.33,1831430.8,1103089.37,728341.43
Sub-Saharan Africa,Uganda,Fruits,Online,L,624295365,1727,9.33,6.92,16112.91,11950.84,4162.07
Asia,Taiwan,Clothes,Offline,M,769651782,5921,109.28,35.84,647046.88,212208.64,434838.24
Middle East and North Africa,Azerbaijan,Vegetables,Online,C,751929891,1619,154.06,90.93,249423.14,147215.67,102207.47
Asia,Maldives,Office Supplies,Online,H,989928519,702,651.21,524.96,457149.42,368521.92,88627.5
Sub-Saharan Africa,Mauritania,Meat,Offline,H,622758996,7081,421.89,364.69,2987403.09,2582369.89,405033.2
Sub-Saharan Africa,Burundi,Baby Food,Online,H,659845149,1698,255.28,159.42,433465.44,270695.16,162770.28
Sub-Saharan Africa,Zambia,Baby Food,Offline,H,830923306,7526,255.28,159.42,1921237.28,1199794.92,721442.36
Asia,Singapore,Beverages,Offline,L,936042296,4571,47.45,31.79,216893.95,145312.09,71581.86
Sub-Saharan Africa,Ghana,Household,Online,L,395563447,4869,668.27,502.54,3253806.63,2446867.26,806939.37
Sub-Saharan Africa,Guinea,Meat,Offline,M,500160586,7487,421.89,364.69,3158690.43,2730434.03,428256.4
Sub-Saharan Africa,Zambia,Fruits,Online,L,360820043,3524,9.33,6.92,32878.92,24386.08,8492.84
Europe,Georgia,Snacks,Online,C,958840644,1109,152.58,97.44,169211.22,108060.96,61150.26
Middle East and North Africa,Bahrain,Baby Food,Online,M,195833718,404,255.28,159.42,103133.12,64405.68,38727.44
Sub-Saharan Africa,Lesotho,Personal Care,Offline,M,543723094,8601,81.73,56.67,702959.73,487418.67,215541.06
Central America and the Caribbean,Barbados,Cosmetics,Offline,H,494745099,4924,437.2,263.33,2152772.8,1296636.92,856135.88
Middle East and North Africa,Saudi Arabia,Vegetables,Online,H,411448562,5628,154.06,90.93,867049.68,511754.04,355295.64
Europe,Macedonia,Personal Care,Offline,H,276694810,8998,81.73,56.67,735406.54,509916.66,225489.88
Asia,Turkmenistan,Office Supplies,Offline,M,143657672,352,651.21,524.96,229225.92,184785.92,44440
Europe,Albania,Baby Food,Online,L,585823476,7040,255.28,159.42,1797171.2,1122316.8,674854.4
Middle East and North Africa,Afghanistan,Clothes,Online,C,446991050,3440,109.28,35.84,375923.2,123289.6,252633.6
Australia and Oceania,Kiribati,Clothes,Offline,M,891271722,5963,109.28,35.84,651636.64,213713.92,437922.72
Middle East and North Africa,Morocco,Cosmetics,Online,C,453089320,8053,437.2,263.33,3520771.6,2120596.49,1400175.11
Europe,Norway,Baby Food,Offline,L,887180173,5183,255.28,159.42,1323116.24,826273.86,496842.38
Europe,Sweden,Cosmetics,Online,L,418593108,9858,437.2,263.33,4309917.6,2595907.14,1714010.46
Asia,Tajikistan,Personal Care,Online,M,492689454,6613,81.73,56.67,540480.49,374758.71,165721.78
Europe,Netherlands,Cosmetics,Online,M,825143039,7017,437.2,263.33,3067832.4,1847786.61,1220045.79
Europe,Spain,Vegetables,Online,L,751940190,4667,154.06,90.93,718998.02,424370.31,294627.71
Sub-Saharan Africa,Chad,Baby Food,Offline,H,579379737,194,255.28,159.42,49524.32,30927.48,18596.84
Europe,Ireland,Meat,Online,C,234073007,6259,421.89,364.69,2640609.51,2282594.71,358014.8
Middle East and North Africa,Pakistan,Meat,Online,C,612943828,2554,421.89,364.69,1077507.06,931418.26,146088.8
Sub-Saharan Africa,Mozambique,Fruits,Online,C,433228528,804,9.33,6.92,7501.32,5563.68,1937.64
Middle East and North Africa,Bahrain,Fruits,Online,L,282475936,9762,9.33,6.92,91079.46,67553.04,23526.42
Asia,Tajikistan,Meat,Online,M,368547379,214,421.89,364.69,90284.46,78043.66,12240.8
Australia and Oceania,New Zealand,Meat,Offline,H,969616687,9980,421.89,364.69,4210462.2,3639606.2,570856
Sub-Saharan Africa,Niger,Baby Food,Online,L,184170186,8906,255.28,159.42,2273523.68,1419794.52,853729.16
Europe,Armenia,Fruits,Online,C,681006705,3872,9.33,6.92,36125.76,26794.24,9331.52
Sub-Saharan Africa,Gabon,Baby Food,Online,L,249237573,3791,255.28,159.42,967766.48,604361.22,363405.26
Asia,Kyrgyzstan,Vegetables,Offline,H,348286616,4604,154.06,90.93,709292.24,418641.72,290650.52
Australia and Oceania,Fiji,Clothes,Offline,L,257890164,4285,109.28,35.84,468264.8,153574.4,314690.4
Europe,Romania,Cosmetics,Online,H,228097045,7839,437.2,263.33,3427210.8,2064243.87,1362966.93
Sub-Saharan Africa,Botswana,Cereal,Online,C,129268586,2302,205.7,117.11,473521.4,269587.22,203934.18
Australia and Oceania,Fiji,Cosmetics,Online,M,802078616,1741,437.2,263.33,761165.2,458457.53,302707.67
Europe,Vatican City,Clothes,Offline,C,907513463,2256,109.28,35.84,246535.68,80855.04,165680.64
Asia,Thailand,Vegetables,Online,L,976871955,6975,154.06,90.93,1074568.5,634236.75,440331.75
Europe,Belarus,Cereal,Offline,C,261765420,1060,205.7,117.11,218042,124136.6,93905.4
Australia and Oceania,Solomon Islands,Vegetables,Offline,L,784117686,6703,154.06,90.93,1032664.18,609503.79,423160.39
Asia,China,Cosmetics,Offline,M,586165082,8128,437.2,263.33,3553561.6,2140346.24,1413215.36
Sub-Saharan Africa,Angola,Snacks,Online,C,480456435,6591,152.58,97.44,1005654.78,642227.04,363427.74
Asia,Cambodia,Cereal,Online,L,899853074,5376,205.7,117.11,1105843.2,629583.36,476259.84
Central America and the Caribbean,Guatemala,Baby Food,Offline,L,547528827,4802,255.28,159.42,1225854.56,765534.84,460319.72
Sub-Saharan Africa,Namibia,Vegetables,Online,L,446970021,7217,154.06,90.93,1111851.02,656241.81,455609.21
Europe,Serbia,Beverages,Offline,H,791975486,2001,47.45,31.79,94947.45,63611.79,31335.66
Middle East and North Africa,Turkey,Vegetables,Offline,M,496656548,564,154.06,90.93,86889.84,51284.52,35605.32
Middle East and North Africa,Pakistan,Vegetables,Offline,C,345437037,1351,154.06,90.93,208135.06,122846.43,85288.63
Europe,Georgia,Vegetables,Offline,H,743053281,4833,154.06,90.93,744571.98,439464.69,305107.29
Australia and Oceania,Vanuatu,Snacks,Offline,L,364554107,8516,152.58,97.44,1299371.28,829799.04,469572.24
Europe,Luxembourg,Cosmetics,Online,H,205300843,1937,437.2,263.33,846856.4,510070.21,336786.19
Middle East and North Africa,Saudi Arabia,Household,Online,M,430967319,1661,668.27,502.54,1109996.47,834718.94,275277.53
Australia and Oceania,Vanuatu,Meat,Offline,H,827539861,6289,421.89,364.69,2653266.21,2293535.41,359730.8
Central America and the Caribbean,Haiti,Snacks,Offline,H,351317298,1450,152.58,97.44,221241,141288,79953
Sub-Saharan Africa,Tanzania,Household,Offline,C,278910958,4805,668.27,502.54,3211037.35,2414704.7,796332.65
Asia,North Korea,Cosmetics,Offline,C,157244670,1047,437.2,263.33,457748.4,275706.51,182041.89
Middle East and North Africa,Bahrain,Beverages,Online,L,953554761,6899,47.45,31.79,327357.55,219319.21,108038.34
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,L,105390059,6115,205.7,117.11,1257855.5,716127.65,541727.85
Asia,Singapore,Cosmetics,Offline,L,970611894,4483,437.2,263.33,1959967.6,1180508.39,779459.21
Asia,Malaysia,Baby Food,Offline,M,677394092,4820,255.28,159.42,1230449.6,768404.4,462045.2
Europe,Albania,Baby Food,Online,L,474222981,1973,255.28,159.42,503667.44,314535.66,189131.78
Sub-Saharan Africa,Gabon,Snacks,Online,L,779897391,7824,152.58,97.44,1193785.92,762370.56,431415.36
Europe,Poland,Snacks,Offline,L,733528649,6283,152.58,97.44,958660.14,612215.52,346444.62
Sub-Saharan Africa,Chad,Office Supplies,Online,H,444540584,8292,651.21,524.96,5399833.32,4352968.32,1046865
Sub-Saharan Africa,Republic of the Congo,Clothes,Online,H,542669522,6826,109.28,35.84,745945.28,244643.84,501301.44
Asia,Philippines,Fruits,Offline,L,827964293,1888,9.33,6.92,17615.04,13064.96,4550.08
Europe,France,Snacks,Offline,M,720786225,5516,152.58,97.44,841631.28,537479.04,304152.24
Europe,Germany,Household,Offline,H,611809146,6777,668.27,502.54,4528865.79,3405713.58,1123152.21
Sub-Saharan Africa,Uganda,Personal Care,Online,M,512019383,6769,81.73,56.67,553230.37,383599.23,169631.14
Middle East and North Africa,Bahrain,Personal Care,Online,C,502715766,3621,81.73,56.67,295944.33,205202.07,90742.26
Middle East and North Africa,Jordan,Office Supplies,Offline,M,285509622,7497,651.21,524.96,4882121.37,3935625.12,946496.25
Europe,Montenegro,Beverages,Offline,L,532324779,5586,47.45,31.79,265055.7,177578.94,87476.76
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,635397565,7114,81.73,56.67,581427.22,403150.38,178276.84
Europe,Germany,Cereal,Offline,M,957276809,8335,205.7,117.11,1714509.5,976111.85,738397.65
Europe,Italy,Snacks,Online,L,580823838,7536,152.58,97.44,1149842.88,734307.84,415535.04
Europe,France,Office Supplies,Offline,H,459212481,33,651.21,524.96,21489.93,17323.68,4166.25
Middle East and North Africa,Algeria,Baby Food,Online,L,265929067,3175,255.28,159.42,810514,506158.5,304355.5
Asia,Myanmar,Beverages,Online,H,644772422,1343,47.45,31.79,63725.35,42693.97,21031.38
Europe,France,Vegetables,Offline,C,959853875,947,154.06,90.93,145894.82,86110.71,59784.11
Europe,Spain,Vegetables,Online,C,645597255,5429,154.06,90.93,836391.74,493658.97,342732.77
Asia,Cambodia,Baby Food,Offline,C,556738889,264,255.28,159.42,67393.92,42086.88,25307.04
Sub-Saharan Africa,The Gambia,Vegetables,Online,M,718327605,7956,154.06,90.93,1225701.36,723439.08,502262.28
Europe,Russia,Baby Food,Offline,L,775724732,3041,255.28,159.42,776306.48,484796.22,291510.26
Europe,Belarus,Baby Food,Offline,H,444604098,7088,255.28,159.42,1809424.64,1129968.96,679455.68
Middle East and North Africa,Turkey,Beverages,Online,C,860952031,3693,47.45,31.79,175232.85,117400.47,57832.38
Sub-Saharan Africa,Kenya,Meat,Offline,C,531067359,3488,421.89,364.69,1471552.32,1272038.72,199513.6
Middle East and North Africa,Iran,Cosmetics,Offline,M,281561410,9133,437.2,263.33,3992947.6,2404992.89,1587954.71
Asia,Vietnam,Personal Care,Offline,L,109358012,321,81.73,56.67,26235.33,18191.07,8044.26
Europe,Albania,Beverages,Online,L,531693494,8775,47.45,31.79,416373.75,278957.25,137416.5
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Offline,C,336116683,3251,109.28,35.84,355269.28,116515.84,238753.44
Sub-Saharan Africa,Senegal,Cereal,Offline,M,630488908,4534,205.7,117.11,932643.8,530976.74,401667.06
Europe,Netherlands,Fruits,Online,L,792983996,441,9.33,6.92,4114.53,3051.72,1062.81
Europe,Russia,Fruits,Online,C,722088277,822,9.33,6.92,7669.26,5688.24,1981.02
Europe,Slovakia,Cosmetics,Online,H,386600577,2557,437.2,263.33,1117920.4,673334.81,444585.59
Australia and Oceania,East Timor,Beverages,Offline,L,275632226,4556,47.45,31.79,216182.2,144835.24,71346.96
Central America and the Caribbean,Haiti,Vegetables,Offline,H,948607051,2761,154.06,90.93,425359.66,251057.73,174301.93
Middle East and North Africa,Yemen,Cereal,Online,H,785261380,5147,205.7,117.11,1058737.9,602765.17,455972.73
Australia and Oceania,Tuvalu,Cereal,Online,C,935644042,6719,205.7,117.11,1382098.3,786862.09,595236.21
Sub-Saharan Africa,Liberia,Snacks,Offline,M,370116364,4512,152.58,97.44,688440.96,439649.28,248791.68
Asia,North Korea,Beverages,Online,C,829352176,2594,47.45,31.79,123085.3,82463.26,40622.04
Asia,North Korea,Household,Online,M,974337804,7063,668.27,502.54,4719991.01,3549440.02,1170550.99
Europe,Romania,Household,Online,H,436372077,1050,668.27,502.54,701683.5,527667,174016.5
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Offline,M,267066323,9715,205.7,117.11,1998375.5,1137723.65,860651.85
Middle East and North Africa,Bahrain,Fruits,Online,M,688344371,5251,9.33,6.92,48991.83,36336.92,12654.91
Middle East and North Africa,Somalia,Cosmetics,Offline,M,642442548,1881,437.2,263.33,822373.2,495323.73,327049.47
Europe,Cyprus,Cereal,Online,C,941909682,861,205.7,117.11,177107.7,100831.71,76275.99
Europe,United Kingdom,Beverages,Offline,C,219607102,5477,47.45,31.79,259883.65,174113.83,85769.82
Europe,Germany,Personal Care,Offline,H,778708636,6045,81.73,56.67,494057.85,342570.15,151487.7
Middle East and North Africa,Somalia,Beverages,Online,M,942700612,4915,47.45,31.79,233216.75,156247.85,76968.9
Australia and Oceania,New Zealand,Household,Offline,H,905381858,1466,668.27,502.54,979683.82,736723.64,242960.18
Middle East and North Africa,Kuwait,Meat,Online,C,480863702,7110,421.89,364.69,2999637.9,2592945.9,406692
Asia,Japan,Cosmetics,Online,L,453569972,289,437.2,263.33,126350.8,76102.37,50248.43
Europe,Norway,Baby Food,Offline,H,328236997,1476,255.28,159.42,376793.28,235303.92,141489.36
Sub-Saharan Africa,Lesotho,Personal Care,Offline,C,579913604,8177,81.73,56.67,668306.21,463390.59,204915.62
Europe,Belgium,Cosmetics,Online,H,403961122,9928,437.2,263.33,4340521.6,2614340.24,1726181.36
Central America and the Caribbean,Honduras,Cosmetics,Offline,L,866053378,3295,437.2,263.33,1440574,867672.35,572901.65
Europe,Austria,Household,Offline,C,852176702,6878,668.27,502.54,4596361.06,3456470.12,1139890.94
Middle East and North Africa,Oman,Baby Food,Online,M,218629920,6307,255.28,159.42,1610050.96,1005461.94,604589.02
Middle East and North Africa,Oman,Baby Food,Offline,C,242024362,9242,255.28,159.42,2359297.76,1473359.64,885938.12
Europe,Spain,Snacks,Offline,M,469283854,376,152.58,97.44,57370.08,36637.44,20732.64
Middle East and North Africa,Afghanistan,Fruits,Online,C,967644727,6433,9.33,6.92,60019.89,44516.36,15503.53
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Offline,L,974655807,1167,437.2,263.33,510212.4,307306.11,202906.29
Europe,Iceland,Vegetables,Online,M,248178422,365,154.06,90.93,56231.9,33189.45,23042.45
Asia,Myanmar,Vegetables,Offline,L,416386401,6844,154.06,90.93,1054386.64,622324.92,432061.72
Europe,Netherlands,Snacks,Offline,L,927766072,5453,152.58,97.44,832018.74,531340.32,300678.42
Europe,Slovakia,Vegetables,Online,M,401116263,8071,154.06,90.93,1243418.26,733896.03,509522.23
Middle East and North Africa,Bahrain,Fruits,Offline,H,675548303,8610,9.33,6.92,80331.3,59581.2,20750.1
Sub-Saharan Africa,Lesotho,Baby Food,Online,L,960486018,8012,255.28,159.42,2045303.36,1277273.04,768030.32
Central America and the Caribbean,Cuba,Clothes,Offline,L,985665738,9250,109.28,35.84,1010840,331520,679320
Middle East and North Africa,Afghanistan,Clothes,Offline,C,551136291,2331,109.28,35.84,254731.68,83543.04,171188.64
Australia and Oceania,Vanuatu,Cereal,Online,L,877259004,9289,205.7,117.11,1910747.3,1087834.79,822912.51
Asia,Bhutan,Beverages,Offline,M,554707705,9192,47.45,31.79,436160.4,292213.68,143946.72
Australia and Oceania,Palau,Cereal,Offline,L,494468724,3139,205.7,117.11,645692.3,367608.29,278084.01
Asia,Indonesia,Personal Care,Online,H,777840888,9259,81.73,56.67,756738.07,524707.53,232030.54
Europe,Andorra,Baby Food,Offline,C,206435525,7714,255.28,159.42,1969229.92,1229765.88,739464.04
Middle East and North Africa,Algeria,Office Supplies,Online,C,352176463,5696,651.21,524.96,3709292.16,2990172.16,719120
Australia and Oceania,Vanuatu,Cosmetics,Offline,C,607300031,2429,437.2,263.33,1061958.8,639628.57,422330.23
North America,Mexico,Baby Food,Online,H,434355056,4168,255.28,159.42,1064007.04,664462.56,399544.48
Europe,Macedonia,Fruits,Offline,M,716202867,9199,9.33,6.92,85826.67,63657.08,22169.59
Central America and the Caribbean,Panama,Personal Care,Online,H,606017291,2838,81.73,56.67,231949.74,160829.46,71120.28
Asia,Nepal,Cereal,Offline,H,677284657,2436,205.7,117.11,501085.2,285279.96,215805.24
Asia,Nepal,Fruits,Online,C,673803794,2371,9.33,6.92,22121.43,16407.32,5714.11
Sub-Saharan Africa,Mauritius ,Cereal,Offline,C,859686028,9055,205.7,117.11,1862613.5,1060431.05,802182.45
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,H,669355189,5930,109.28,35.84,648030.4,212531.2,435499.2
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,L,957547605,8470,9.33,6.92,79025.1,58612.4,20412.7
Asia,Maldives,Personal Care,Online,M,849312102,9180,81.73,56.67,750281.4,520230.6,230050.8
Sub-Saharan Africa,Swaziland,Personal Care,Offline,H,890010011,2595,81.73,56.67,212089.35,147058.65,65030.7
Middle East and North Africa,Morocco,Cereal,Online,H,795315158,284,205.7,117.11,58418.8,33259.24,25159.56
Asia,Maldives,Clothes,Offline,M,801213872,5844,109.28,35.84,638632.32,209448.96,429183.36
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,C,314004981,9907,9.33,6.92,92432.31,68556.44,23875.87
Asia,India,Cereal,Online,C,160299813,5132,205.7,117.11,1055652.4,601008.52,454643.88
Asia,Tajikistan,Beverages,Offline,C,337022197,1212,47.45,31.79,57509.4,38529.48,18979.92
Sub-Saharan Africa,Lesotho,Snacks,Offline,M,461408460,9872,152.58,97.44,1506269.76,961927.68,544342.08
Asia,Bhutan,Office Supplies,Offline,M,221007430,9865,651.21,524.96,6424186.65,5178730.4,1245456.25
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,L,723680436,1978,152.58,97.44,301803.24,192736.32,109066.92
Australia and Oceania,Tuvalu,Fruits,Offline,L,447601306,4028,9.33,6.92,37581.24,27873.76,9707.48
Middle East and North Africa,Iraq,Clothes,Offline,L,191256368,5864,109.28,35.84,640817.92,210165.76,430652.16
Sub-Saharan Africa,The Gambia,Vegetables,Offline,L,823444449,4366,154.06,90.93,672625.96,397000.38,275625.58
Middle East and North Africa,Bahrain,Beverages,Online,C,133276879,8445,47.45,31.79,400715.25,268466.55,132248.7
Middle East and North Africa,Qatar,Meat,Online,H,480177485,4043,421.89,364.69,1705701.27,1474441.67,231259.6
Sub-Saharan Africa,Angola,Household,Offline,H,243882596,9135,668.27,502.54,6104646.45,4590702.9,1513943.55
Central America and the Caribbean,Costa Rica,Cosmetics,Online,L,574441039,8724,437.2,263.33,3814132.8,2297290.92,1516841.88
Australia and Oceania,Papua New Guinea,Household,Online,M,442214143,9847,668.27,502.54,6580454.69,4948511.38,1631943.31
Middle East and North Africa,Qatar,Clothes,Offline,C,687875735,6571,109.28,35.84,718078.88,235504.64,482574.24
Central America and the Caribbean,Saint Kitts and Nevis ,Clothes,Offline,H,872412145,4995,109.28,35.84,545853.6,179020.8,366832.8
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,C,627122199,8250,9.33,6.92,76972.5,57090,19882.5
Europe,Russia,Fruits,Online,M,103617227,1495,9.33,6.92,13948.35,10345.4,3602.95
Europe,Lithuania,Vegetables,Offline,M,423821055,6923,154.06,90.93,1066557.38,629508.39,437048.99
Europe,United Kingdom,Vegetables,Online,L,529970014,8759,154.06,90.93,1349411.54,796455.87,552955.67
Asia,Indonesia,Personal Care,Offline,H,334612929,8256,81.73,56.67,674762.88,467867.52,206895.36
Asia,Mongolia,Beverages,Offline,M,270611131,8702,47.45,31.79,412909.9,276636.58,136273.32
Middle East and North Africa,Egypt,Office Supplies,Online,C,841138446,413,651.21,524.96,268949.73,216808.48,52141.25
Sub-Saharan Africa,Comoros,Household,Online,M,369681203,5738,668.27,502.54,3834533.26,2883574.52,950958.74
Europe,Slovenia,Household,Offline,M,850038230,4057,668.27,502.54,2711171.39,2038804.78,672366.61
Middle East and North Africa,Lebanon,Beverages,Online,M,296320855,6781,47.45,31.79,321758.45,215567.99,106190.46
Australia and Oceania,Australia,Cosmetics,Offline,L,392952907,2352,437.2,263.33,1028294.4,619352.16,408942.24
Central America and the Caribbean,Haiti,Snacks,Online,M,644670712,1245,152.58,97.44,189962.1,121312.8,68649.3
Central America and the Caribbean,Saint Kitts and Nevis ,Meat,Online,L,626523101,963,421.89,364.69,406280.07,351196.47,55083.6
Middle East and North Africa,Syria,Vegetables,Offline,M,433871400,1044,154.06,90.93,160838.64,94930.92,65907.72
Asia,Laos,Snacks,Offline,M,232389438,8054,152.58,97.44,1228879.32,784781.76,444097.56
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,H,708063542,592,205.7,117.11,121774.4,69329.12,52445.28
Sub-Saharan Africa,Sudan,Vegetables,Offline,H,817192542,4288,154.06,90.93,660609.28,389907.84,270701.44
Central America and the Caribbean,Guatemala,Meat,Offline,H,936387765,6803,421.89,364.69,2870117.67,2480986.07,389131.6
Asia,Brunei,Clothes,Offline,H,612573039,2830,109.28,35.84,309262.4,101427.2,207835.2
Middle East and North Africa,Jordan,Clothes,Online,M,812984693,9092,109.28,35.84,993573.76,325857.28,667716.48
Central America and the Caribbean,Panama,Meat,Offline,C,775171554,9344,421.89,364.69,3942140.16,3407663.36,534476.8
Sub-Saharan Africa,Central African Republic,Household,Online,H,256994950,9372,668.27,502.54,6263026.44,4709804.88,1553221.56
Middle East and North Africa,Bahrain,Beverages,Offline,M,886628711,1993,47.45,31.79,94567.85,63357.47,31210.38
Sub-Saharan Africa,Burundi,Beverages,Online,C,312559163,2057,47.45,31.79,97604.65,65392.03,32212.62
Europe,Austria,Cereal,Online,L,753585135,1443,205.7,117.11,296825.1,168989.73,127835.37
Australia and Oceania,Fiji,Beverages,Offline,H,448817956,4062,47.45,31.79,192741.9,129130.98,63610.92
Australia and Oceania,Fiji,Clothes,Offline,M,407681453,856,109.28,35.84,93543.68,30679.04,62864.64
Europe,Switzerland,Snacks,Online,H,359911954,4800,152.58,97.44,732384,467712,264672
Middle East and North Africa,Yemen,Office Supplies,Offline,M,105558288,5898,651.21,524.96,3840836.58,3096214.08,744622.5
Sub-Saharan Africa,Comoros,Personal Care,Offline,H,864981782,6186,81.73,56.67,505581.78,350560.62,155021.16
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Online,C,328856265,4732,651.21,524.96,3081525.72,2484110.72,597415
Asia,Mongolia,Clothes,Offline,H,308168065,2633,109.28,35.84,287734.24,94366.72,193367.52
Australia and Oceania,Palau,Household,Offline,L,884216010,8021,668.27,502.54,5360193.67,4030873.34,1329320.33
Europe,Monaco,Snacks,Offline,M,858611428,1057,152.58,97.44,161277.06,102994.08,58282.98
Australia and Oceania,Fiji,Cereal,Online,L,903278148,8932,205.7,117.11,1837312.4,1046026.52,791285.88
Sub-Saharan Africa,Mali,Beverages,Online,L,410452497,870,47.45,31.79,41281.5,27657.3,13624.2
Sub-Saharan Africa,Liberia,Cereal,Offline,H,642683303,3126,205.7,117.11,643018.2,366085.86,276932.34
Europe,Switzerland,Beverages,Offline,L,682831895,3987,47.45,31.79,189183.15,126746.73,62436.42
Australia and Oceania,Samoa ,Baby Food,Online,L,584072101,8769,255.28,159.42,2238550.32,1397953.98,840596.34
Asia,Nepal,Meat,Offline,C,919890248,4821,421.89,364.69,2033931.69,1758170.49,275761.2
Middle East and North Africa,Azerbaijan,Snacks,Offline,C,534085166,6524,152.58,97.44,995431.92,635698.56,359733.36
Europe,Georgia,Baby Food,Offline,H,590768182,288,255.28,159.42,73520.64,45912.96,27607.68
Middle East and North Africa,United Arab Emirates,Vegetables,Online,C,524363124,9556,154.06,90.93,1472197.36,868927.08,603270.28
Europe,Finland,Household,Offline,L,289606320,9801,668.27,502.54,6549714.27,4925394.54,1624319.73
Europe,Portugal,Cereal,Offline,C,811546599,3528,205.7,117.11,725709.6,413164.08,312545.52
